Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,1999,1999,hg/ha,118417,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,1999,1999,tonnes,551279,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2000,2000,ha,50323,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2000,2000,hg/ha,114775,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2000,2000,tonnes,577582,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2001,2001,ha,49371,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2001,2001,hg/ha,195422,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2001,2001,tonnes,964817,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2002,2002,ha,50125,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2002,2002,hg/ha,196419,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2002,2002,tonnes,984551,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2003,2003,ha,50950,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2003,2003,hg/ha,192608,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2003,2003,tonnes,981339,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2004,2004,ha,48553,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2004,2004,hg/ha,202999,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2004,2004,tonnes,985623,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2005,2005,ha,50266,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2005,2005,hg/ha,205016,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2005,2005,tonnes,1030531,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2006,2006,ha,46829,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2006,2006,hg/ha,220225,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2006,2006,tonnes,1031292,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2007,2007,ha,45410,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2007,2007,hg/ha,224335,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2007,2007,tonnes,1018703,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2008,2008,ha,43922,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2008,2008,hg/ha,219783,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2008,2008,tonnes,965333,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2009,2009,ha,41029,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2009,2009,hg/ha,219313,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2009,2009,tonnes,899821,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2010,2010,ha,42779,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2010,2010,hg/ha,238608,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2010,2010,tonnes,1020741,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2011,2011,ha,47267,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2011,2011,hg/ha,238377,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2011,2011,tonnes,1126736,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2012,2012,ha,47349,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2012,2012,hg/ha,255185,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2012,2012,tonnes,1208275,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2013,2013,ha,45690,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2013,2013,hg/ha,255936,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2013,2013,tonnes,1169370,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2014,2014,ha,43399,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2014,2014,hg/ha,253877,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2014,2014,tonnes,1101799,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2015,2015,ha,46088,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2015,2015,hg/ha,256128,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2015,2015,tonnes,1180443,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2016,2016,ha,46465,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2016,2016,hg/ha,265725,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2016,2016,tonnes,1234691,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2017,2017,ha,48162,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2017,2017,hg/ha,268630,Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2017,2017,tonnes,1293774,,Official data,
QC,Crops,21,Brazil,5312,Area harvested,497,Lemons and limes,2018,2018,ha,52784,,Official data,
QC,Crops,21,Brazil,5419,Yield,497,Lemons and limes,2018,2018,hg/ha," 280,638.00 ",Fc,Calculated data,
QC,Crops,21,Brazil,5510,Production,497,Lemons and limes,2018,2018,tonnes,1481322,,Official data,
,,,,,,,,,,,,,,
,,,,,,,,,,,28.0638451,,,
