state,date,precipitation
MG,30/11/2015,184.3
MG,31/12/2015,152.3
MG,31/01/2016,328.9
MG,29/02/2016,175.7
MG,31/03/2016,113.1
MG,30/04/2016,26.2
MG,31/05/2016,0
MG,30/06/2016,75.3
MG,31/07/2016,0
MG,31/08/2016,0.4
MG,30/09/2016,65.4
MG,31/10/2016,70.7
MG,30/11/2016,273
MG,31/12/2016,244.6
MG,31/01/2017,107
MG,28/02/2017,142.6
MG,31/03/2017,106.5
MG,30/04/2017,51.6
MG,31/05/2017,20.8
MG,30/06/2017,19.8
MG,31/07/2017,0.5
MG,31/08/2017,0
MG,30/09/2017,46.6
MG,31/10/2017,148.2
MG,30/11/2017,185.6
